Date,Home,Away,HomeScore,AwayScore,Winner
10/10/2023,TBL,NSH,5,3,TBL
10/10/2023,PIT,CHI,2,4,CHI
10/10/2023,VGK,SEA,4,1,VGK
10/11/2023,CAR,OTT,5,3,CAR
10/11/2023,TOR,MTL,6,5,TOR
10/11/2023,BOS,CHI,3,1,BOS
10/11/2023,CGY,WPG,5,3,CGY
10/11/2023,LAK,COL,2,5,COL
10/11/2023,VAN,EDM,8,1,VAN
10/12/2023,BUF,NYR,1,5,NYR
10/12/2023,CBJ,PHI,2,4,PHI
10/12/2023,NJD,DET,4,3,NJD
10/12/2023,DAL,STL,2,1,DAL
10/12/2023,MIN,FLA,2,0,MIN
10/12/2023,NSH,SEA,3,0,NSH
10/12/2023,SJS,VGK,1,4,VGK
10/13/2023,NJD,ARI,3,4,ARI
10/13/2023,WSH,PIT,0,4,PIT
10/14/2023,OTT,PHI,5,2,OTT
10/14/2023,WPG,FLA,6,4,WPG
10/14/2023,BOS,NSH,3,2,BOS
10/14/2023,CBJ,NYR,5,3,CBJ
10/14/2023,DET,TBL,6,4,DET
10/14/2023,MTL,CHI,3,2,MTL
10/14/2023,PIT,CGY,5,2,PIT
10/14/2023,TOR,MIN,7,4,TOR
10/14/2023,NYI,BUF,3,2,NYI
10/14/2023,STL,SEA,2,1,STL
10/14/2023,EDM,VAN,3,4,VAN
10/14/2023,SJS,COL,1,2,COL
10/14/2023,VGK,ANA,4,1,VGK
10/14/2023,LAK,CAR,5,6,CAR
10/15/2023,OTT,TBL,5,2,OTT
10/15/2023,ANA,CAR,6,3,ANA
10/16/2023,CBJ,DET,0,4,DET
10/16/2023,NJD,FLA,3,4,FLA
10/16/2023,NYR,ARI,2,1,NYR
10/16/2023,TOR,CHI,1,4,CHI
10/16/2023,WSH,CGY,3,2,WSH
10/17/2023,PHI,VAN,2,0,PHI
10/17/2023,MTL,MIN,2,5,MIN
10/17/2023,BUF,TBL,3,2,BUF
10/17/2023,NYI,ARI,1,0,NYI
10/17/2023,NSH,EDM,1,6,EDM
10/17/2023,WPG,LAK,1,5,LAK
10/17/2023,SEA,COL,1,4,COL
10/17/2023,SJS,CAR,3,6,CAR
10/17/2023,VGK,DAL,3,2,VGK
10/18/2023,OTT,WSH,6,1,OTT
10/18/2023,DET,PIT,6,3,DET
10/19/2023,BUF,CGY,3,4,CGY
10/19/2023,FLA,TOR,3,1,FLA
10/19/2023,NYR,NSH,1,4,NSH
10/19/2023,TBL,VAN,4,3,TBL
10/19/2023,PHI,EDM,4,1,PHI
10/19/2023,MIN,LAK,3,7,LAK
10/19/2023,STL,ARI,2,6,ARI
10/19/2023,WPG,VGK,3,5,VGK
10/19/2023,ANA,DAL,2,3,DAL
10/19/2023,SEA,CAR,7,4,SEA
10/19/2023,COL,CHI,4,0,COL
10/19/2023,SJS,BOS,1,3,BOS
10/20/2023,CBJ,CGY,3,1,CBJ
10/20/2023,NYI,NJD,4,5,NJD
10/21/2023,OTT,DET,2,5,DET
10/21/2023,ARI,ANA,2,1,ARI
10/21/2023,BUF,NYI,3,1,BUF
